state,coal,petroleum,natural gas,total
Alabama,35.9,36.4,40.9,113.3
Alaska,1.6,15.1,18.4,35.1
Arizona,31.7,41,21.3,93.9
Arkansas,29.1,22.6,19.5,71.1
California,3.2,236.3,117.2,356.6
Colorado,27.2,35.7,27.8,90.6
Connecticut,0.4,22,15.2,37.6
Delaware,0.4,7.6,5.3,13.3
District of Columbia,0,1.1,1.7,2.9
Florida,31.3,131.8,80.2,243.2
Georgia,32.5,70.1,40.3,142.8
Hawaii,1.4,19,0.2,20.5
Idaho,0.3,12.6,6.2,19
Illinois,67.2,84.5,60.5,212.2
Indiana,93.8,47.6,47.4,188.8
Iowa,31.1,26.8,25,82.8
Kansas,21.7,23.5,17.1,62.3
Kentucky,62.6,39.6,18.9,121.2
Louisiana,13.2,88.5,97.6,199.3
Maine,0.2,12,2.6,14.8
Maryland,11.9,33.2,16.6,61.7
Massachusetts,0,40.6,24,64.6
Michigan,48.2,62.3,53.6,164.1
Minnesota,25,42.9,27.3,95.2
Mississippi,5.7,26.2,31.4,63.4
Missouri,63.8,43.4,17.5,124.7
Montana,14.5,11.5,4.8,30.8
Nebraska,25.2,16.8,10.5,52.5
Nevada,3.3,21.2,16.5,41
New Hampshire,0.7,10.8,2.7,14.3
New Jersey,1.6,61.4,42.4,105.4
New Mexico,13.1,17.4,14.9,45.4
New York,1.6,100.4,73.9,175.9
North Carolina,31,61.9,31.8,124.8
North Dakota,38.8,13,7.2,59.1
Ohio,68.3,75.2,65.6,209.2
Oklahoma,16.4,37.2,44.2,97.7
Oregon,1.6,23.9,14.4,39.9
Pennsylvania,61.1,79,80.4,220.5
Rhode Island,0,5.6,5.6,11.1
South Carolina,19.6,35.9,18,73.4
South Dakota,2.6,7.9,5.1,15.6
Tennessee,24,49.2,21.5,94.7
Texas,113.6,328.2,242.2,684
Utah,26.1,21.6,13.5,61.1
Vermont,0,5.1,0.8,5.9
Virginia,14.2,58.2,35.4,107.8
Washington,5.8,53.4,17.8,77
West Virginia,63.2,15.1,11.8,90
Wisconsin,34.6,37.4,30,102
Wyoming,43.5,10.8,9.3,63.6
